what,kind,bundleId,bundleVersion,description,time
error,log,,,"PHPCore plugin internal error",1348590424473
error,log,,,"PHPCore plugin internal error",1348590424477
error,log,,,"PHPCore plugin internal error",1348590424480
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348590428309
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348590433594
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590446616
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590455707
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348590459565
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1348590477736
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348590479505
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590480476
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590517760
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1348590527881
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348590533906
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348590542786
error,log,,,"PHPCore plugin internal error",1348590563281
error,log,,,"PHPCore plugin internal error",1348590563284
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1348590593782
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1348590596656
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348590600623
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590631188
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590638306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590644272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590645275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590648791
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348590990555
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348591007677
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348591011786
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348591013450
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348591027669
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348591034445
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348591040086
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348591391023
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348591410825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348591413689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348591415996
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348591417182
