what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1343712413511
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712415156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712470393
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1343712561933
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1343712569774
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1343712570680
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1343712572768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1343712575078
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1343712582163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712582870
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712590436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712600684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712671137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712673335
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712673942
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712675544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712904710
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1343712942154
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1343712955729
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1343712962785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712963466
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712972011
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1343712977641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1343712980657
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1343712982753
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343712987296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343713151030
