what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1349746127202
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1349746140855
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1349746148012
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1349746153994
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1349746162182
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746208354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746218668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1349746226024
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1349746232990
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1349746236300
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1349746243553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746244890
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746259695
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1349746267883
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1349746271977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746273780
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746275253
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.print",1349746275276
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1349746276576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746277849
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746287414
error,log,,,"PHPCore plugin internal error",1349746302959
error,log,,,"PHPCore plugin internal error",1349746302962
error,log,,,"PHPCore plugin internal error",1349746302965
error,log,,,"PHPCore plugin internal error",1349746305043
error,log,,,"PHPCore plugin internal error",1349746305046
error,log,,,"PHPCore plugin internal error",1349746305049
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1349746306634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746307213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746312092
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1349746314840
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1349746316474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1349746338904
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1349746357220
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349746357892
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349747640250
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1349747642435
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349747691158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349747707128
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349747722507
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349747723255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349747723628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349747724811
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349747725228
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349747730040
