what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156055985
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156060611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1350156061731
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156062397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156082331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156087166
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156128591
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156128757
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156128795
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1350156128796
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156138563
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156140859
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156142358
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156146965
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156170735
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156186989
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156189281
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156199304
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156241554
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156244730
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156258938
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156261405
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156265248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156269612
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1350156299194
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156300432
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156310766
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1350156345272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1350156375630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156376353
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156380879
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1350156382660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1350156391836
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156395111
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156400295
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156402378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1350156404526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1350156405220
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1350156407664
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156408495
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156415883
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156435702
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156441503
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156444014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1350156457785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156458434
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156465079
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156481851
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156483640
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156488795
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1350156497144
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156497852
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156512218
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156526041
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156540880
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1350156549636
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1350156568766
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156572307
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156587390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156593644
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156597233
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156601429
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1350156604493
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156605370
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156612135
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156612214
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156616744
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156624600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156627719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156641009
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156642529
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156643744
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156644361
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156645982
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156651241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156654012
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156654225
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156654260
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1350156654260
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156656640
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156656640
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156658396
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156664516
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156664658
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156664681
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1350156664682
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156677264
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156678317
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156678317
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156685133
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1350156699627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156703425
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1350156712538
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156722186
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156736390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1350156737434
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156751875
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1350156759597
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1350156761810
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1350156763421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156764132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156779038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156786099
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156793268
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156793413
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156793441
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1350156793441
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1350156812939
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1350156833976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156835056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156836308
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156838168
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350156846618
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1350156858743
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1350156876280
