what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1343785059401
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343785060019
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343785076853
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1343785100223
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1343785102212
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1343785103498
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343785104532
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343785109289
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1343785115205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1343785117135
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343785117773
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343785179427
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1343785185597
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1343785191734
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1343785227173
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1343785228081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343785229328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1343789885503
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1343789922610
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1343789925789
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1343789928818
