what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878226070
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878255699
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878264200
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878315455
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878351971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878486194
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878488575
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1348878530815
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1348878532716
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1348878535371
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1348878537259
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1348878541283
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1348878553726
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1348878556592
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1348878558877
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1348878567201
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1348878569282
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348878570677
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878571797
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878579096
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348878581570
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878606444
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878614616
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878628350
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878641949
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878669917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878708934
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348878712057
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348878722081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878723106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878868659
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348878870552
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348878871983
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348878872741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1348878913470
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878915150
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878916779
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878918441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878948667
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348878948796
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348878948829
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1348878948831
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1348878959148
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348878983111
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348878985075
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1348878996920
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348878999723
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348879025021
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348879025104
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1348879025104
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1348879036935
