what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1347922238429
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1347922238430
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1347922238432
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1347922238445
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1347922238446
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1347922238457
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1347922238460
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1347922238462
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1347922238463
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1347922238464
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1347922238464
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1347922238489
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1347922238492
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1347922238494
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1347922238510
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1347922238524
os,sysinfo,,,"win32",1347922238528
arch,sysinfo,,,"x86",1347922238528
ws,sysinfo,,,"win32",1347922238528
locale,sysinfo,,,"en_US",1347922238528
processors,sysinfo,,,"2",1347922238528
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347922238528
java.runtime.version,sysinfo,,,"1.7.0-b147",1347922238528
java.specification.name,sysinfo,,,"Java Platform API Specification",1347922238528
java.specification.vendor,sysinfo,,,"Oracle Corporation",1347922238528
java.specification.version,sysinfo,,,"1.7",1347922238528
java.vendor,sysinfo,,,"Oracle Corporation",1347922238528
java.version,sysinfo,,,"1.7.0",1347922238528
java.vm.info,sysinfo,,,"mixed mode",1347922238528
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1347922238528
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347922238528
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1347922238528
java.vm.specification.version,sysinfo,,,"1.7",1347922238528
java.vm.vendor,sysinfo,,,"Oracle Corporation",1347922238528
java.vm.version,sysinfo,,,"21.0-b17",1347922238528
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1347922238896
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1347922239011
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1347922239158
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1347922239239
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1347922239353
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1347922239381
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1347922239583
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1347922239683
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1347922239745
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1347922239860
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1347922240784
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1347922240999
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1347922241120
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1347922241167
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1347922241195
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1347922241291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347924688519
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347924689249
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347924690012
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347924690973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347924691859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347924693884
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347924695070
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347924702204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347925108767
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1347925113520
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1347925113540
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1347925113568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1347925114946
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347925115838
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926314554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926317636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926320598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1347926323213
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1347926339308
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926340024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926347052
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926357833
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926358184
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926358782
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926359919
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1347926365985
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1347926367085
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1347926372585
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926373804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926378229
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1347926384258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926384973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926389555
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1347926397641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926398387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926401765
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1347926413928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926414568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926606733
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926607652
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926611475
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1347926640539
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1347926640553
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1347926640828
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1347926640910
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1347926640929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1347926640968
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1347926641227
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1347926641243
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1347926641264
started,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1347926641341
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926642795
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926653069
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926656330
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926656666
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926656999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926657397
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926657747
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926658097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926658415
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926658761
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1347926659128
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926661658
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926662662
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1347926666862
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926667900
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926677741
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926678732
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926682841
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926685104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926696638
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926697362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926899103
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926903480
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926904837
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926905893
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926919620
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1347926919986
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1347926920019
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1347926920020
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1347926931475
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1347926936397
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926940767
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926943759
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347926954007
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927074860
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927075960
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927099023
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1347927104489
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1347927106494
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927108779
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927212828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927213572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927220607
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927221616
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927244905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927245452
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927249616
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1347927264229
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1347927268088
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1347927273102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927273967
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927281755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347927281780
