what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1346733884447
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1346733884450
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1346733884451
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1346733884452
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1346733884453
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1346733884464
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1346733884467
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1346733884468
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1346733884469
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1346733884479
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1346733884480
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1346733884487
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1346733884494
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1346733884494
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1346733884494
os,sysinfo,,,"win32",1346733884497
arch,sysinfo,,,"x86",1346733884497
ws,sysinfo,,,"win32",1346733884497
locale,sysinfo,,,"en_US",1346733884497
processors,sysinfo,,,"2",1346733884497
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346733884497
java.runtime.version,sysinfo,,,"1.7.0-b147",1346733884497
java.specification.name,sysinfo,,,"Java Platform API Specification",1346733884497
java.specification.vendor,sysinfo,,,"Oracle Corporation",1346733884497
java.specification.version,sysinfo,,,"1.7",1346733884497
java.vendor,sysinfo,,,"Oracle Corporation",1346733884497
java.version,sysinfo,,,"1.7.0",1346733884497
java.vm.info,sysinfo,,,"mixed mode",1346733884497
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1346733884497
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346733884497
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1346733884497
java.vm.specification.version,sysinfo,,,"1.7",1346733884497
java.vm.vendor,sysinfo,,,"Oracle Corporation",1346733884497
java.vm.version,sysinfo,,,"21.0-b17",1346733884497
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1346733884622
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1346733884841
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1346733884862
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1346733885138
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1346733885280
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1346733885342
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1346733885486
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1346733885515
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1346733886200
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1346733886225
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1346733886405
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1346733886578
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346733888074
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1346733888122
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1346733888587
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1346733888706
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1346733888802
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1346733889104
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734132197
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734144926
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1346734150945
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1346734150981
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734155325
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734240172
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734257622
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734265490
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734266839
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734276506
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1346734298549
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1346734298569
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1346734298603
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1346734299515
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1346734304374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1346734313721
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1346734317657
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1346734321052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734322190
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734350242
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1346734352538
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734425880
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734516511
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1346734572833
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1346734573772
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734578145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734591652
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734601166
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734646904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734663538
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734719126
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734736736
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1346734749781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1346734765624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1346734776966
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1346734779023
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1346734781354
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1346734793566
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1346734823396
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1346734823418
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1346734823730
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1346734823834
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1346734823867
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1346734824052
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1346734824084
