what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348289357474
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289358143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289380723
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348289382322
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348289390203
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1348289397210
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1348289400881
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348289402613
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289403713
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289436965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289439630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289443136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289446886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289506361
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289507271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289525007
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289526131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289629657
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348289632678
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348289634359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289659489
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289770369
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348289771696
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1348289773616
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348289797899
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289798977
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289810963
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348289820124
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1348289874043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1348289875758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1348289876587
